Review	Liked
 Last season ruined 	0
 made an account just to give one star after s08e03 disaster 	0
 A big let down! 	0
 Season 8 can only be described as pathetic. 	0
 Finale was awful 	0
 Decline of a Masterpiece 	0
 Greatest show with worst last season in living memory. 	0
" Well, it's stupid. "	0
 7 brilliant seasons ruined by S8 	0
6	0
 Last Two Seasons are comically bad 	0
 Season 8 Episode 3 	0
" Great Start, but failed to cross the line "	0
 Season 8 is the worst crime against the best show 	0
 D&D. 	0
" So close, yet so far "	0
 2 for season 8 	0
 Season 8 	0
 Very disappointed 	0
 Great adaptation softened by original content and then completely ruined by the ending. 	0
 I edited my rating after the end 	0
 Disappointing conclusion 	0
 Season 1-7 is 10 season 8 ruined the show 	0
 How do I recommend anyone watch it after s8 	0
 New found respect for Martin. 	0
 What happened? 	0
 Best Series eve..... Garbage 	0
 Never encountered such bad stupid clumsy writers 	0
 Disappointed 	0
 Season 7 and 8 ruined the series 	0
 First 4 seasons were great and then it all goes downhill 	0
 Great apart from S8 	0
 Final episode 	0
 Trash ending 	0
 Great Disappointment After S8 Ep3 	0
 Remember to adjust your rating 	0
 Didn't worth it 	1
 half is good half is bad 	1
 What a ridiculously pathetic ending. 	0
 I am deeply divided by Season 8 	0
 Don't put all your eggs into the basket. 	0
 Season 8 ruined the show 	0
 I gave it a 10 for almost 3 years until 2 weeks ago 	0
 Season 8 is a disappointment 	0
 Seasons 1 - 5 are incredible and it devolves from there... 	0
 Worst episode to date 	0
 Seriously??? 	0
 A story is only as good as its ending 	0
 A hard goodbye to Game of Thrones 	0
" ""Long Night"" ruind this show. "	0
 Winter is coming 	0
 Does not deserve a perfect 10 anymore 	0
 It's all good until last season... 	0
 S8 dropped the ball on storytelling.. 	0
 How to go from the best to the worst in 2 episodes. 	0
 Season 8 	0
 Season 8 drags it down. 	0
 Good or Bad 	0
 Do not waste your time with this. 	0
 Watch only till season 7 	0
 What a let down 	0
 Hero to Zero 	0
 What happened to the storytelling 	0
 8 years for this 	0
 Season 8 fail 	0
 We can't ever rewatch this series? 	0
 Amazing..... until the last series 	0
 unrewatchable 	0
 So disappointed 	0
 Season 8 ruined everything 	0
 A very well structered one until the halfway 	0
 My fave...until now. 	0
 What the Hell happened? 	0
 RIP last season 	0
 Worst way to end the final season 	0
 wtf? 	0
 Great to Worse 	0
 Ruined show 	0
 Worst ending possible 	0
" 6 great seasons, starts to wobble with 7 then 8 is utter trash. What a waste of time! "	0
 Garbage Ending 	0
 Watch Seasons 1-5. 	0
 Don't bother watching 	0
 Subvert your expectations 	0
 It could have been.... 	0
 Season 8 ruined GOT 	0
 excellent but ruined by the end 	0
 Why just why? This show could have been the best ever. 	0
 What Was That? 	0
" This hurts, but must be done. "	0
 Messed up with Seasons 7 and especially 8 	0
 WORST ENDING IN THE HISTORY OF TELEVISION! 	0
 S8 the worst 	0
 Season 8 almost sunk the series 	0
 Started out great but ended horribly 	0
 And Now Our Watch Has Ended - An Overall Review after All Seasons 	0
 Used to be the best! 	0
 Season 8 is total garbage 	0
 What were you thinking? 	0
 Don't care who will sit 	0
 Writers literally destroyed the characters ! 	0
 Truly a masterpiece 	1
 My rating was 8. I changed it to 5. 	0
 Season8 	0
 MOST DISAPPOINTING ENDING OF ALL TIME. 	0
 I waited until the final episode to write a review 	0
 This review is for season 8 no spoilers 	0
 Perfect then ruined 	0
 Sadly disappointing end to what had been greatest show ever 	0
" Seasons 7 & 8 should've been extended, because what we have is just rushed. "	0
 What a waste. 	0
 Started good went nowhere 	0
 Season 8 cost 10 	0
 Excellent story ruined by the final season. 	0
 End of series with steady decline in writing. Disappointing. 	0
 It WAS amazing... until season 8 	0
 Its ok but it's overhyped 	0
 Great Start Then Disappointing 	0
 Don't get invested. The last season ruins the whole thing. 	0
 My Ratings by Season 	0
 Final Season ruined it 	0
 Completely fizzled out... 	0
" Best show, worst finale "	0
" That is it! GOT is over. Sadly a huge letdown in the last season. Here is my review, 8 years after I rated GOT the first time. "	0
 This show was my life 	0
 Astonishingly Disappointed 	0
 Season 8 	0
 Incredibly Anti-Climactic 	0
 Thank you D&D 	0
 I wish I didn't watch Season 8 The Long Night 	0
 No words 	1
 What started as a dream ends as a nightmare... 	0
 Season 8 is garbage 	0
 logic errors were too much 	0
" Good, then great ! Then BAD "	0
 Season 8 terrible 	0
 Season 8 disaster 	0
 Worst final season of any series I've watched 	0
 One of the best/worst show ever. 	0
 Garbage ending 	0
 Just skip Season 8 	0
 Brace yourself for the biggest disappointment if you just started watching 	0
 From greatness to shambles 	0
 ;(((((((( 	0
 Used to be a 9... after S8E3 it became 100 	0
 4 out of 10 	0
 10 now a 4 because of the last season 	0
 Poor Ending 	0
 Changed my 10 to 8 after Finale season 	0
 Lost for words 	0
 Lost 	0
 A Once Brilliant Series That Completely Fell Apart 	0
 A bed time story 	0
 This show turned to sopa opera after season 4 	0
 Horrible season 8! 	0
" Early seasons are good , the rest not so much "	0
 Not worth 	0
 One of the most destroyed shows on television 	0
" GOT is the ""Me Too"" of TV world "	0
 This TV series is magnificent 	1
 What have they done. 	0
 Session 8 	0
 S08 	0
 Beyond Disgusted 	0
 7th and 8th season a complete waste of time 	0
 Its ruined 	0
 Biggest let down in television history. 	0
 4 Stars just for S8E03 	0
 Maybe the best TV show with the worst final season ever 	0
 Game of Black 	0
 Show Ruined by Stupid Writing in Final Seasons 	0
 Could have been timeless. Ends up being generic. 	0
 Great start... Horrible ending 	0
 Annoying final season. 	0
 It could have been a great ending...but it wasn't. 	0
 Great Series but my story is better 	1
 Season 8 will live in infamy 	1
 Season 8 f it up :( 	0
 Amazing show until season 8 	0
 Last Episode-Disappointing 	0
 The fatal final season 	0
 WORST ENDING EVER 	0
 This is only related to Season 8...which has been trash 	0
 Season 8 Killed a Beautiful Show 	0
 The episode is very bad 	0
 Why??? 	0
 Awful 8 season 	0
 Season 8 	0
 What does DB stand for? 	0
 It's like LOST all over again.... 	0
 Wow! A sixth grader could have ended GOT better. 	0
 Disappointed 	0
 After the last season 	0
 What happened??? 	1
 Best show ever! 	1
 It WAS the best show 	0
 This WAS the greatest show ever on tv. 	0
 To Keep It Short 	0
 Wtf happened??? When the final season ruins the series... 	0
 Wondeful show that was ruined by showrunners that jumped the shark. 	0
" Great Until Season 8 , What A Let Down! "	0
 A scary harbinger of the future 	0
 Last season is a complete disaster 	0
 Greatest show turned to ASH 	0
 Junk finishing 	0
 Total waste of time 	0
 Unbelievable that they ruined it!!!!!! 	0
 Worst Downfall Ever 	0
 Absolutely Fantastic 	1
 The biggest let down ever made on TV. 	0
 How did a phenomenal show fall so far 	0
 Loved it...now hate 	0
 Stop at season 6 	0
 Not going to lie don't watch it. 	0
" why, oh why.. "	0
 The finale ruined the entire TV series 	0
" ""Art"" this aint! Predictable, bad writing, bad story, mostly terrible acting. Very low brow and a new low in Hollywood tat! "	0
 Amended review 	0
 Almost best show ever. 	0
 Dont thing im gonna miss this show after watching the finale 	0
 One of the best book adaptations turned into fanfiction mediocrity 	0
" Season 8 , great start, except for the last 2 episodes "	0
 When two incompetent writers are given a massive budget and an extraordinary crew 	0
 Could have been better. 	0
 Very disappointing ending 	0
 For all that greatness 	0
 The show went down like that dragon 	0
 Rewrite Season 8 	1
 Game of Thrones 	0
 I wanted to give it a 10..... 	0
 Once a symphony... 	0
 Thank you D&D for ruining one of the greatest shows of all time. 	0
" It was one of the best, until... "	0
 Season 8 is really disappointing... 	0
 For the Ones Who Can Actually Think 	0
 Best to the worst 	0
 Bad 	0
 let me explain 	0
 Boring 	0
 For the ending 	0
 Why GOT why 	0
 They Rian Johnson'd the Last Season 	0
 Last two seasons are a joke 	0
 Best to Worst in no time! 	0
 Ending meand everything 	0
 Last 2 seasons were ruined 	0
 Killed the show 	0
 Review after watching the finale. 	0
 The worst season in the history of TV shows 	1
" S1-7 almost perfect, S8 Holywood stupidity "	0
 Last Season was disappointing... 	0
" It's a TV show. It's a TV show based on a book. ""Mistakes were made."" "	0
 Journey and destination. 	0
 The last season has put a serious dent on the rewatchability of this show. 	0
 Wow 	1
 Nasty little thing 	0
" Except for the last season, the show is my favorite "	1
 I'm only giving those 8 points based on the previous seasons!! 	0
" Awesome series, horrible ending "	0
 One of a kind success that ended in Hindenburg-like disaster 	0
" Great book and series, terrible final season "	0
 If you ask me to rate all the first 7 seasons I would give them a total of around 9 but last season deserves a 1 	0
" Night King, White Walkers and Dragons "	0
 Exceptional show but last season ruined it all. 	0
 The last season is bad . The last season is bad 	0
 Really Surprised! 	1
 Old time fan 	0
 .....and then Season 8 happened 	0
 Another trash episode 	0
 One Od the Worse episode i ever seen 	0
 Ending ruined the show 	0
 Let's all f this up. 	0
" Excited for season 8 to finish, so i could watch the whole show from beginning to end. Now, i dont think i will ever come back to it "	0
 Disapointing 	0
 season 8 destroy it 	0
 Pathetic Ending.. Ruin the love for the entire series 	0
 Compelled to lower rating after final season 	0
 the final ruined the show  	0
 Disaster ! 	0
" Amazing, but sad!! "	0
 Began wonderfully. Ended horribly. What an atrocity. Never buying anything GRRM again. 	0
 Winter is coming! *Cough Cough* 	0
 It deserves 9 stars but giving 1 caz of season 8 	0
 Surreal how they ruined it... 	0
 Absolutely amazing 	1
 Hater's Beware- For the new viewer 	1
" Was a 10, now all rewatchability is ruined "	0
" Same like everyone else's thoughts. Watch the show till season 5. And then read the rest of the books. Don't bother with seasons 6, 7 and 8 "	0
 Best series fantasy 	0
 Final seasson thumbs down 	0
 Would have given a 9 or 10 but s7 and s8 ruind 10 years of my life 	0
 Dan and Dave Send Their Regards 	0
 Season 1 to 7 Great...... Season 8 Worst of all 	0
 It was 10 till season 8 	1
 Heartbroken 	0
 The ending ruins the entire show 	0
" Amazing start, slow middle, terrible end "	0
 Started off well but is declining rapidly 	0
 Night king tuss up 	0
 Lives up to the hype and then some! 	1
 Season 8 killed the show 	0
 Would you recommend to your friend again? NO - it's unrewatchable 	0
 Worst TV show ending ever !!! Don't watch it 	0
 The show is ruined 	0
 I love this show but this episode was a great disappointment. 	1
 Re-write it 	0
 8th sesaon is the guide 'how to ruin the best tv show of all times' 	0
 You rapped a master piece for star wars which will never be as glorious as got 	0
 An Enthralling Masterpiece 	1
 Stop watching after season 6 	0
 Season 8 episode 6 fek you sansa 	0
 Disappointed season 8 	0
 Just lame 	0
 I refuse to give more than one star unless HBO do a Season 8 remake! 	0
 Worst episode ever or how to destroy 8 years of buil up with fan lazy cliché fan service 	0
 8th season ruined everything 	0
 Worst Television Series 	0
 MASTER PIECE 	1
 G.R.R. Martin and Bran the Broken 	0
 Why 	0
 Re-judgement of GOT. 	0
 Great till season 7 	0
 Used to be so good................ what happened............. 	0
 What a waste 	0
 Bad ending of all time 	0
" The best show, but the ending was the worst "	0
 Trash 	0
 Bad ending 	0
 This season is horrible 	0
 This could be the greatest show ever.. 	0
 The final episode 	1
 From 10 to 1 in 2 episodes 	0
 The Worst Ending For The Best TV Show 	1
 RUINED in the last season 	0
 Promising show fizzles halfway through. 	0
 So good until something rusted it.. 	0
 Disappointed.. 	0
 Epic fail 	0
 Great beginning which created a foundation unrelated to a rushed series of plot points thrown at a loyal audience. 	0
 A fascinating show with a terrible ending 	0
 Disappointing 	0
 Great until last season 	0
" Fantasy at its finest, for adults! "	1
 What can i say.... 	0
 Game of clones 	1
 Yep... screwed worst than Dexter 	0
 Got is 85% is a great show 	1
 Draws you in then cheeses you out 	0
 The lasr season is so bad 	0
 1 bcoz of season 8 disappointment 	0
 season 8 really!!! 	0
 Ugly final season. 	0
 Not worth it . Dont waste your time 	0
" The show that could do no wrong, or so I thought. "	0
 Watched it 	0
 It was all going so well....... 	0
 What could of been. 	0
 Weird end 	0
" Big potential, but poor finish... "	0
 My conspiracy theory 	0
 The worst ending! 	0
 What happened?? 	0
 To whomever wrote the ending (rating due to ending) 	0
 From epic to terrible. 	0
 What started out great is now nothing more than meh. 	0
 After S08E03 	0
 Season 7 is a Big Disappointment. 	0
 Ruin 	0
 Season 8 killed the entire show 	0
 Absolutely perfect 	1
 Such a disappointing ending 	0
 Producers sold out 	0
 Great start not the best End 	0
" Waste of 9 years could have been a 10, threw away a great opportunity to capitalize on what could have been the greatest show ever. "	0
 A masterpiece with a rushed ending 	1
 Best TV series ever.....then Season 8 came 	0
 No longer worthy of the best series ever 	0
 Journey and destination. 	0
 good until it wasn't 	0
 Jumping the shark and fans refusing to admit it 	0
" Not upset about the ending, still an amazing show "	1
 The final season sucked...end of story 	0
 Destroyed by s8 	0
 When will begin S09 ?! 	0
 Winter never came. 	0
 A gory soap opera 	0
 Terrible ending to a good show 	0
 D&D lost it. 	0
 Thank you for 7 great seasons ! 	0
 My heart is broken 	0
 Final episode ruined the whole series 	0
 Why GOT ruined my life - a rant 	0
 Mixed review for a mixed up series 	0
 The real GoT ended after season 6 for me 	0
 GREATEST TV SHOW of all time....The best 50 minutes of TV 	0
 WORST ending ever ! 	0
 Season 8 ruined the entire series 	0
 Season 8 ruined Game of Thrones 	0
 I lost my 8 years 	0
 Dispointing 	0
 A incredible show with an even more incredibly BAD Ending 	0
 Masterpiece show with a big slap in the face as ending 	0
 Dont watch the final season 	0
 Disgusting Season 8 and Finale 	0
 Heads up for GAME OF THRONES 	1
 Not worth it 	0
 Worst season ever : season 8 	0
 The reasons why the show is leaving many viewers dissapointed 	0
 Had it 10....had to tearfully drop it to a 7....breaks my heart :( 	0
 great 5 6 seasons...a total disaster 8 season 	0
" An Iconic TV series with lots of astonishing moments, but one final letdown... "	0
 Recommended viewing order 	1
 Rating lowered 	0
" seasons1-4 awsome, after it varied , till disastrous season 8 "	0
 7 seasons 	1
 Because of season 8 (and 7) 	0
 Worthless after season 8 	0
 If you start fresh watching the show... 	0
 Season 8 made GOT 	0
 Season 8 is sucks 	0
 Worst ending ever! 	0
 Waste of time 	0
 Popular Doesn't Automatically Equate to Quality 	0
" And so, the story begins… "	1
 Masterful Cinema 	1
 Just wow! 	1
 OMG! What a Fab show! 	1
" What the hell were they thinking? A ""recap episode???"" "	0
 don't waste your time 	0
 Great show until season 8 	0
 Magnificent show with Terrible ending 	0
" Season 1 - 6 is very good, Season 7 - 8 is disappointing and felt rushed especially Season 8. "	0
 Great show. Till the end. 	0
 HBO bags another winner 	1
 SUCH BS! 	0
 LOVED IT! A Series steeped in Passion 	1
 This Show is The proof that People Are Becoming Stupid 	0
 Worst Finale Ever 	0
 Waste of time... 	0
" The best tv show ever made, but.. "	0
 Not best show 	0
" 6 perfect, one good and a dreadful end. "	0
 Just stop watching at s8e3 	0
 Oh hell noo! 	0
 Glorified crap! 	0
 Zero points should be available as a rating..! 	0
 Great til season 8 	0
 Stupid ending 	0
 Perfect example of Schadenfreude - 1 	0
 OK but no LotR 	0
 Had to change my rating after the end 	0
 Great! Except for the final season.. 	0
 The last episode of the greatest series in history 	0
 worst seson ever 	0
 Stupid show 	0
 Disappointed 	0
 changed from 10 to 1 	0
 Season 8 Disaster 	0
 Disappointed 	0
 Ending made me want back all my wasted time 	0
 Whatever 	0
 Objective 	1
" It was the best of shows, it was the worst of shows "	0
 Final season ruined the whole series. 	0
 It was amazing show 	0
 Wow... from 100 to zero in 2 episodes. 	0
" As expected, some will love it, some will hate it "	1
" Strong Start, Questionable Finish "	1
 I lowered my original rating due to season 8. 	0
 What went wrong? 	0
 Season 8 The worse 	0
 Bad 	0
 UNWORDLY 	1
 It made me go out and buy the books! 	1
 Great at the beginning but the last season  	1
 One of the Top 5 Best TV Shows EVER. Period. 	1
 Disappointing.... 	0
 30 hours of wasted time. 	0
 Waste of time 	1
 Amazing. 	0
 On finding Game of Thrones on VHS 	1
 It sucks 	0
 Last season was a disaster! 	0
 A 10 for Balance 	1
 Masterpiece 	1
 Season 8 - What the F!!!! 	0
" Shame, shame, shame, shame "	0
 giving one star due to abysmal season finale 	0
 You can't mark a work without considering its ending 	0
 What's the big fuss about this show? 	0
 An unexpected masterpiece 	1
" Excellent adaptation of an amazing book, with some notable flaws "	0
 Overrated 	0
 Best show you can ever see except for the ending 	0
 So much potential 	0
 The last season is just disappointment 	0
 Goodbye GOT. 	0
 Worst ending ever 	0
 Don't go watch it!!! 	0
 Last two episodes is bad end destroy all series 	0
" The last Episode is the worse, is idiot "	0
 Season 8... 	1
 A Beautiful Saga Destroyed 	0
 Amazing fantasy series!! 	1
 D&D ruined it 	0
 A long-runner unable to come to a satisfying end. 	0
 Increasingly dumb 	0
 2 different shows 	0
 Everything was good until season 8. 	0
 Watch till season six finale 	0
" Unfortunately, rating changed. "	0
 Season 8 	1
 The watch has ended in a very bad way. 	0
 Boring 	0
 I loved game of thrones! Until season 8 ruined it all. 	0
 No sense 	0
 Sorry for my time waste it (10 YEARS) 	0
 Didn't clear up anything 	0
 Michael Bay on line 1.... 	0
 So sad 	0
 This show 	0
 Did Marvel bought HBO? 	0
 Blah 	0
 Bad ending . 	0
" S 1-6 10, S 7 8, S 8 2-3 "	1
 Season 8 would deserve a -1 	0
 Ending almost ruined it 	0
" Great show, disappointing ending "	0
 What a send off. 	1
 Don't know what to say 	0
 Great genre change 	0
 It is better not to start 	0
 Awful Ending 	0
" Perfect for 4 seasons, inconsistent for 3 the seasons which precede the awful conclusion "	0
 Ending??? 	0
" Last season not great, sooooo disappointed "	0
" Impressive epic with plenty of violence , fierce combats , plot twists , gore and blood . "	0
 Malaysia 	0
  There's no shield surfing here! 	1
 TV par excellence 	1
 Game of overthrone the series 	0
 Is this better than the wire?? 	0
" Will this be another show HBO gets me hooked, before unceromoniously dumping it for inexplicable reasons? "	1
" Yes, folks, it's falling apart. Season 5-7. "	0
 Definitely a keeper! 	1
 Winter of the mind and common sense. 	0
 Most Overrated Show in History 	0
 Brought tears to my eyes 	1
 Simply the BEST 	1
 Last Season 	1
 Well worth the hype 	0
 1 point for season 7 and 1 point for season 8 	0
 Worst ending ever..!!! 	0
 BEST TV SHOW EVER MADE! 	1
 Very Interesting Watch 	1
 Bad Ending 	0
 Great show ruined by a lazy rushed shock ending 	0
 Beware the fanboys (and girls) for GOT is a Masterpiece. 	1
 Misogynistic Snuff Gorefest Showcasing GOT Creator's Anger Issue & Tiny Little Imagination 	0
 Booooring 	0
 Depressing Muck 	0
 Life changing viewing!! 	1
" Top 6 Reasons to Watch ""Game of Thrones""! "	1
 Season 8 is a Nonsense. 	0
" Amazing Direction, Acting, Visuals, and Audio but Storytelling? "	1
 Superb 	1
 Possibly the worst storyline I will ever encounter... 	1
 Nothing Quiet Like It 	0
 Series without any ethics and with nothing good to feel about 	0
 Incredible show 	1
 Greatest TV production. 	1
 As good as TV can get 	1
 A Game that never ends / gets to the point 	0
" So, that Videodrome film was right... "	0
 Such a shame 	0
 10 or 1 ??? 	0
" Great shows defined by their ending, GoT will not be defined as a great "	0
 Season 1-4 are PERFECTIONS Season 7-8 are DISASTERS 	1
 Worst ending I've ever seen! 	0
 The best tv show with the WORST ending 	0
 UnimaginativeTestosterone Pretending To Be Edgy 	0
" DEAD SERIOUS BLOODY human flesh skewered, NAKED FEMALES PIERCED, organs, maggots, breasts (oh great plot craft too) "	0
 I wonder why you people like it so much? 	0
 Had enough of sadistic violence. 	0
 Worth the hype 	1
" Easily The Greatest Fantasy Television Show Ever, And Better Than Most Fantasy Films. "	0
 Extremely disappointed with the season finale 	0
 Ruined 	0
 Those Shocking Episode Endings Rule! 	0
 At Last - Adult Fantasy For Tolkien Non-Enthusiasts 	1
 The shark has been jumped. 	0
 The Bad Guys Always Win 	0
 Perhaps the most overrated show to ever exist 	0
" disgusting, overrated, pointless "	0
 Booooooooorrring! 	0
 A Plebe Show: 	0
" True to the Book, Excellent, a Must See "	1
 Quality HBO production 	0
 Is really this is the end!! 	0
 8 season is rly bad 	0
 Not Enough Jack Black 	0
 Biggest disappointment in TV history 	0
 Great show except for the last season! Horrible ending! 	0
 Wow... Just wow... 	0
 A lazy and raunchy series for those that enjoy watching injustice played out 	0
 I can't understand the popularity of this series. 	0
" Brilliant writing, brilliant actors, brilliant editing "	0
 This is mount Everest of TV series 	1
 Books are better 	0
 Game of Moans :( 	0
 The biggest nosedive in television history. 	1
 Exceptional storytelling with unmatched depth 	1
 Nothing ever beats a book...but this is damn close so far 	1
 Its like Gossip Girl in the medieval times 	0
 Unbelievably awful 	0
 An epic tale 	1
 The worst writing in history of TV! 	0
 Deserved of a Throne 	1
 Reading or watching?...Reading definitely. 	0
 TBIES 	1
 swimming in the sewer 	0
 Outstanding TV Series. 	0
 Like a good relationship gone very bad. 	0
 Best show 	1
" 4 Masterpiece Seasons, 2 Great Seasons, 1 Mediocore Season, 1 Bad Season (THIS REVIEW CONTAINS SPOILERS) "	1
" OKAY, Lets do the math "	0
 Just changed my rating from 10 to 5.. 	0
 Disappointing final 3 episodes 	0
 To be brilliant you have to be consistent 	0
 Dont know what they are upto 	0
 D&D ruined the show 	0
" Like a lot, but not love... "	0
" Decent, but Overrated Fantasy "	0
 Quite bad actually 	0
 Why? 	1
" ""A Good Story Isn't a Good Story if You Have a Bad Ending"" "	0
 Game of Thrones - king of all TV dramas in current production... 	1
 The Game of Porcelain Thrones (S1-3) 	0
 Awful show 	0
 Garbage 	0
 Torturing Women is The New Normal. Sewer Material Served on Silver Platters. 	0
 Game of thrones 	1
 Great views 	1
 A new dimension to an old story 	1
 Very fast pace but loyal to book 	0
 Too light to watch 	1
 The Game is Losing its Throne 	0
 Game of Thrones Sucks 	0
 Have to give some respect! Still recommend people watch it! 	1
 Greatest series of all time cheapened by final season 	0
" A great start, awful ending. Stop watching at S4 (included). "	0
" Dear GoT, I'm leaving you "	0
 Disappointing!! 	1
 failed 	0
 The Best 	1
" Cheap, weird, bad soap opera "	0
 SHAME! 	0
 Fantastic a must see 	1
 Wow! 	1
 I liked the ending. 	1
 I didn't like it 	0
 Last episode 	0
 Fools 	0
 7th season is Accelerated! 	0
 The uproar on the internet intrigued me. 	0
 One of the greatest shows of all time 	0
 Want to Be Entertained; Pull Up a Seat 	1
 Excellent Adaptation of A Song of Ice and Fire 	1
" Winter is Coming, at the Pace of a Glacier "	0
 Absolutely Brilliant! 	1
 The Art of the Cliffhanger 	0
 Filth - do not trick yourself into thinking otherwise 	0
 Not worth the time 	0
 A lot of wind but no direction 	0
 Slowly addicted 	1
 Horrible development of almost everything. 	0
 Dropped the ball 	0
 After Watching 5 seasons 	0
 A well polished soap opera! 	0
 Amazing 	1
 Outstanding is an understatement 	1
 Season 8 destroyed the show 	0
 Believe the hype 	1
 Don't Trust the Stars 	0
 Season 5: Hugely disappointing. 	0
 Fans of the book rejoice!! A winner in all categories! 	1
" if its too confronting, watch something else "	1
 I had to write two reviews 	1
 Best serial 	1
" It's about the end, not the journey - Season 8 review "	0
 Game Of Thrones 	0
 Great show - Stop watching at season 7 	1
 Perfect show ruined by bad writers 	0
 Obaidharthi 	0
 No No No. 	0
" Great show, Questionable Ending "	0
 Broken Heart! 	0
 Gripping Journey to a Disappointing End 	0
 The prince that was promised wasn't really promised! 	1
 Winter is coming... 	0
 Much disappointed of the fact that how it ended. 	0
 A big story is a failed end 	0
 Disappointing Finale!! 	0
 Could've been a lot better 	0
 Season five has gone off the rails. Just not the same show. 	0
 The novelty wore off 2 seasons ago 	0
 Blood Splattered Soft Porn Set in the Middle Ages 	0
 Meh 	0
 I hate this show. ABYSMAL! 	0
 Boring Show 	0
" Poor storytelling, slow and boring "	0
 One of the best series ever!' 	1
 Legendary beginning and bad finishing 	1
